frame,posbox1,negbox1,posbox2,negbox2
61266,68,59,72,60
61267,63,60,72,60
61268,65,60,72,60
61269,65,60,72,60
61270,47,61,72,61
61271,14,57,72,61
61272,0,51,72,61
61273,0,49,72,61
61274,0,49,73,61
61275,0,38,73,61
61276,46,1,73,61
61277,46,1,73,61
61278,69,1,73,61
61279,69,13,73,61
61280,69,44,73,61
61281,69,59,73,61
61282,69,59,73,61
61283,69,59,73,61
61284,85,75,89,78
61285,96,90,97,89
61286,96,90,97,89
61287,100,98,100,96
61288,100,98,100,97
61289,100,99,100,87
61290,100,99,100,81
61291,99,98,99,79
61292,99,98,99,79
61293,99,98,99,78
61294,99,98,94,86
61295,99,98,94,89
61296,98,98,95,96
61297,98,97,87,97
61298,97,96,86,97
61299,97,96,92,97
61300,97,96,94,96
61301,97,96,97,96
61302,96,96,96,96
61303,96,96,96,96
61304,96,96,96,96
61305,96,96,96,96
61306,96,96,96,96
61307,96,95,96,95
61308,96,95,96,95
61309,96,95,96,95
61310,96,95,96,95
61311,96,95,96,95
61312,96,95,96,95
61313,96,95,96,95
61314,96,95,96,96
61315,96,95,96,96
61316,96,95,96,96
61317,96,95,96,96
61318,96,95,96,96
61319,96,95,96,96
61320,96,95,96,96
61321,96,95,96,96
61322,96,95,96,95
61323,96,95,96,95
61324,96,95,96,95
61325,97,94,97,94
61326,99,94,99,96
61327,95,90,100,95
61328,94,88,99,92
61329,94,87,96,90
61330,80,70,82,71
61331,75,66,78,67
61332,73,63,76,64
61333,73,63,76,64
61334,70,61,73,62
61335,70,61,73,62
61336,70,60,73,61
61337,71,60,73,61
61338,70,60,73,61
61339,70,60,73,61
61340,70,60,73,61
61341,70,60,73,62
61342,70,61,73,62
61343,71,61,74,62
61344,71,61,74,62
61345,71,62,75,64
61346,71,62,75,64
61347,72,62,76,64
61348,72,63,75,64
61349,72,63,75,64
61350,72,63,76,64
61351,72,63,76,64
61352,72,63,76,65
61353,72,63,75,64
61354,72,63,75,64
61355,71,62,75,64
61356,70,61,74,63
61357,70,61,74,63
61358,70,61,74,63
61359,70,61,73,62
61360,70,61,73,62
61361,70,60,73,62
61362,70,60,73,61
61363,70,60,73,61
61364,70,60,73,61
61365,69,60,73,61
61366,70,60,73,61
61367,69,60,72,61
61368,69,59,72,60
61369,69,59,72,60
61370,69,59,72,60
61371,69,59,72,60
61372,69,59,72,60
61373,69,59,72,60
61374,69,59,72,60
61375,69,59,72,60
61376,69,59,72,60
61377,69,59,72,60
61378,69,59,72,60
61379,69,59,72,60
61380,69,59,72,60
61381,69,59,72,60
61382,69,59,72,60
61383,69,59,72,60
61384,69,59,72,60
61385,69,59,72,60
61386,69,59,72,60
61387,69,59,72,60
61388,69,59,72,60
61389,69,59,72,60
61390,69,59,72,60
